Text,Sentiment,Type,Author
"I don't know where to begin or where to find all the words or few enough to not be overbearing. I feel like a failure. I feel like I am a curse. I feel like my whole existence is cursed. Parents, dead drug addict and disabled former drug addict who is a narcissist. Dead parent, my Mom, raised me after being clean for 9 years, Dad is deadbeat asshole who uses pity and guilt trips and manipulation, ruined my relationship with my saint of a  Grandmother, and the evil Grandpa I have who hides behind religion as his excuse to wash himself of all the awful shit he did to his kids and abandoning them, which we all (grandkids) suffered from. All my Aunts and Uncles and Parents were drug addicts. Grandparents enablers but also toxically controlling and religiously delusional, and I am an athiest so I love getting the constant religious pressure and the cultish lack of rationality and feeling sorry for me for not having faith. If it wasn't for my younger siblings and cousins, I wouldn't have held on that long. They needed me, I was the oldest. Now they are all grown up and graduating and going to college and having families, so my job is done, and over half my family was wiped out from fentanyl and the surviving family members are my Dad and my Aunt, who are honestly pieces of shit with or without drugs, who say awful unforgivable things to their own children, and expect handouts and pity and to be taken care of by us when they were honestly just awful parents.

 My Mom, her Brother, and my Dads brother all died within a year of one another. After that my Dad went to jail 2 times because of drugs, the last one I had to call out of work to find him because he came up missing and I had to call hospitals, mortuaries, jails, prisons, surprise, jail, drugs. Got out of a prison sentence free because he decided to do a bunch of drugs, overdosed at a party and got his body ditched in a field where he was discovered and brought to a hospital, and can no longer use his right arm, which is after he asked to move in with me and my wife, and I told him to get help and go to rehab, refused it, moved in with a friend if he stayed clean, got kicked out less than a month later, because he lost his prior residence due to jail time and drugs. Also decided to call and ruin my engagement, wedding, and several dates with my wife. Also called me a disappointment and a totally disrespectful waste of space, because I cut my Grandpa I dont even likes grass a day later because of rain, and passed out in his driveway because I used to work 60+ hours a week. Thats the parent I'm left with.

I lost that job by the way, I had a total mental breakdown because of how stressful they were. I worked in the life and health industry and my company referred to me as one of their best examples of an employee, I was on the fast track to a promotion. Then suddenly, everyone else gets promoted around me on the first try, I put in the effort, I worked 12-14 hour days willingly, made great money, but had no time for myself. Still it worked, I loved it. Then out of nowhere, they start hitting me with a bunch of these allegations that were unfounded but still enough to fire me? So I stayed an extra year worrying every day that the next day would be my last until eventually I cracked, I had to take a mental health leave. I come back, I am again right where I was, but worse. They switched me to the department least likely to succeed in or make a living in, and ground me down to nothing.

",Negative,Content,DeadTiredOfThisShit
"I know that sounds bizarre because who does but I mean that I have a very vivid imagination and yet often when imagining things they seem to shift in an intrusive way. Like if I'm reading, I find boats or seats and/or any such object you can sit or lay on will randomly rock or shake when I picture them. Or the ground/stairs/etc. will collapse when I know it doesn't in whatever I'm reading. 

Sometimes I have to grab something around me to steady my thoughts, like holding the item in place, and really imagine it staying still. It doesn't always last for long but usually long enough to pass the scene to one where the thought can fade. 

It's like this with intrusive thoughts too. Where I'll be living the scenario, though with living it they tend to be more graphic and detailed and I'll start picturing simple things going wrong before I can even start them (some as silly as going down the stairs). 

I'm not afraid of bad things happening to me. I'm always getting injured for being reckless or stupid. But I am afraid of not being in control of my thoughts. What if my thoughts are distorting other things and I don't even know it. 

It's overwhelming and messing with my already pretty messed up head. 

I don't know why I think like it and have no control over it.",Negative,Content,SapphicJezus
"(21M) Yesterday I was looking at nsfw content and I came across a nude video from a guy, when I watched the video I started worrying if the guy was underage or not like i do all the time with nsfw content. I clicked on his account and saw he said he was 18 in his bio, but i was still worried, so i scrolled through his account to see if there was any other proof he was of age. The thing is, i was masturbating as i was scrolling, which makes me feel guilty and horrible because i was doing so with the doubt of the guy's age in my mind. He had NSFW retweets and replies to other NSFW posts that were made over a year ago (meaning they had to have been made before he was 18) but all of the content of him was from this month. There also was a reply he made earlier this month saying ""HMU"" to someone who replied to another post saying they were 16.

I am freaking out and worried that i did something wrong by continuing to masturbate while scrolling through his account to look for more proof he was 18, i feel horrible about doing so while carrying doubt about his age in my mind. Did I do something horrible?? I can't stop ruminating and obsessing over this",Negative,Content,sleeping2long
"This past week has been incredibly difficult. I’ve been ill and unable to attend school, but my parents refused to authorise my absences, leaving them marked as *unauthorised*. On Thursday, I went to school despite still feeling unwell, and Reception, noticing this, sent me home and authorised the absence.

At home, my dad came into my room asking why my sister and I hadn’t been attending school. When we tried to explain, he degraded us, which is unfortunately common. For context, I’ve reported my parents to social services multiple times due to physical, emotional, and mental abuse, and the police have been involved before. This has caused a severely strained relationship with them, where I avoid communication as much as possible for my own mental health.

Later, my mum called the attendance officer without warning me, putting me on the spot. I already struggle with anxiety, and this made me feel deeply uncomfortable.

Things escalated further when my dad returned, this time with the attendance officer on speakerphone. They began pressuring me about my absences. I tried to respond, but the situation felt overwhelming. At one point, the officer said, *""Who are you talking to like that, because it better not be me,""* which felt unprofessional and dismissive.

I explained I was speaking to my parents, but they continued pushing. My sister stepped in to explain as I was too upset. Then the officer mentioned escalating the matter to social services, which triggered me deeply given my past. I snapped and shouted, *""Just leave me alone!""*

Now, I feel unsafe and uncomfortable coming back to school. I didn’t expect to be treated this way by someone who should understand the challenges I face at home.",Negative,Content,DressStreet
"Hello, I'm not entirely sure how to start this but here we go. I'm Z, 17M, since age 11 I have been dealing with SH and thoughts about being hurt. I think the biggest impact was the childhood trauma and neglect I went through, but if you ask my parents they will say it never happened. My mom found out about it once when I was 11, took me to a therapist and I refused to talk with the therapist about my problems and only said I don't want to be here. I later learned that my parents were listening in on the ""private"" conversation. my mom saw my scars at 15 again, but didn't bother with therapy as I didn't talk at 11. the last time she saw me sh was when I was 16 and it was quite bad. she realized it was getting out of hand and dragged me to a new doctor. I went to therapy for around 7 months before we had financial issues and I stopped going (its expensive here). it has been 6 months since I quit therapy. (now, a bit of about me; I have only 1 close friend and a loving boyfriend, I hate being a burden to people around me so I avoid talking about myself. my boyfriend is the only one who I could open up about these ever so slightly.) I'm seriously getting tired, everything is piling up and I have no energy or will to push forward. I just don't know how I will tell this to my partner. he is terrified of the thought of death itself, and getting him so face to face with it makes me feel guilty. I don't know what I should do to tell him. I love my boyfriend dearly and as much as I would prefer to keep him happy and stay with him, I just can't. I've made plans of various ways of killing myself and at this point it feels and is impossible to turn me away from this ""goal"".",Negative,Content,1consumeflesh
"does anyone here have the same mental issues that i have? and yes, there are all diagnosed! this is not all the issues that i have though. i also have other issues like adhd & a severely low iq! no, idk how low my iq is. all ik is that it is very low!

i got them all diagnosed years ago when i was little thanks to my parents, thankfully.

the mental issues that i have:
- working memory deficiency
- slow mental processing speed
- a traumatic brain injury
- executive function disorder
- mixed receptive & expressive language disorder

ignore the post having the wrong flair on it btw. i can't apparently post this without having a flair on it!",Positive,Content,thepinkoreo101
"Hello all, I'll try to keep this as short as possible but I apologize if it ends up being long. I'm pretty alone in my struggles and this is my first time opening up to anyone outside of my partner.



Im wondering if I can get some help brainstorming ideas on how I can seek help. I live in Washington state, I live with my partner and our 4 year old. My mental state has been a struggle since i was young, but has been noticably debilitating since PPD. I've been in therapy, but my therapist went private  a couple years ago and it's been near impossible to get in anywhere on my state insurance - the waitlists for places are months long, I'm pretty picky about who I'll see (horrible past experience with a psychiatrist that did a lot of damage), and vetting places/therapists on my own is so overwhelming that I just give up a lot of the time. 


I'm currently on a couple waitlists but haven't found anything else. I feel like I need help ASAP. I'm a stay at home mom, both my partner and I don't have any family around. Its just us. I've considered just going to a hospital to see about inpatient, but with my partner working full time I couldn't be gone outside of the weekend. Its becoming urgent because I consider suicide nearly every day, right now it seems more like ideation (I don't have a plan) but I'm fearful that at this rate it could easily become more. I'm irritable 24/7, I'm not taking care of myself, I'm not the mom i want to be or could be. 


I've done IOPs, regular therapy, been on more antidepressants/anti anxiety meds than I can count and none of them have done anything. I need actual help, but my options are so limited and im feeling desperate, hopeless, and burnt out in all aspects of my life. We can't afford for my partner to miss work and I don't know how much help I'd get in two days if I were to admit myself somewhere. I just don't know how this stuff works or what to do, I just know that my daughter deserves and needs me to be better. Any ideas would really be greatly appreciated, thank you for taking the time to read this. ❤️",Negative,Content,Necessary_Divide_181
"Hello, my name is Brian. I am 37 M mid-Atlantic region of the United States. I am autistic.

I started to want to date at the age of twenty. Obviously, I have spent many years reading and reacting to a wide variety of dating advice. Some of them good some of them bad. Many I have followed, many others I have completely ignored.

One relatively frequent form of advice is to not be too honest or open right away with the person you are trying to date. While I understand this in a theoretical sense this has long been a piece of advice I have ignored.

I suppose it is a little bit ironic that I do not believe in this advice. Since in general I am a very shy, reserved and private person. That said when I am interested in someone and talking to someone I do not mind really opening up and trying to show them my most authentic and true self possible.

This means telling them my positives, my negatives, my weaknesses, my fears, concerns and anxieties. As well as my hopes, my dreams, my joys and my love and happiness as well.

I guess the argument is that by concealing some of these more negative aspects of our personalities a person might grow more attracted to us. I do not fully get the concept.

The whole thing is I only want to date fully grown and mature adult women. Who by now have realized that we all have faults, we all have shortcomings, we all have failures in our lives. That to reveal this part of ourselves is to be more human and more venerable to the other :)

I am curious what other people think on this subject? Has anyone out there been really open and honest about themselves with someone and still got into a long term relationship before?

Thank you all so very much :) any and all answers will be greatly appreciated :)

",Negative,Content,Motor_Feed9945
"Please answer, I am exhausted 

Ok the last two years I build up a friendship with my teacher. She invites me to her house and her family couple times a week and I play with her kids and they even invite me on Christmas Eve. I’m struggling with ptsd and severe self harm and she carries me because I really don’t have a great mother figure…she said „I’m part of her family and she loves me“. She sees me as a friend and even as a daughter (she said I am like her daughter). Sounds amazing but there’s one irrational thought I always get and it kills me inside. There is this other girl struggling with mental health and she is in contact with my teacher too but not on a friendship level such as me…but: I always feel like she is sicker than me and I am not sick enough and have to get worse because I am kind of jealous that she is in contact with my teacher. Even though I am grateful that she gets help and found help. I have such severe abandonment issues I just create jealousy and I don’t want to feel that anymore because I know my teacher likes me a lot a lot. She said she never made such intense friendship with a student before and I believe her but my head does not believe that I am loveable and I also don’t believe that she likes me a lot…t freaks me out! Please help me anybody. I don’t know how to get this other girl out of my head. I don’t want to be jealous ",Positive,Content,anynom-
"Hi, just a vent. 

Being an emotional man is not really fun/kinda makes me feel bad. I cry A LOT, almost daily. Yesterday I had ugly cried (silently) after boarding a flight and was looked at like I just committed a crime LOL. I cry watching movies, when music artists/groups/athletes/(really anyone) accomplishes something they tried really hard for or wins awards. I cry at messages etc, really anything can trigger me emotionally. I like softer/pretty things (or as traditional people would say more ""feminine"") things, this applies to almost all my taste; music,movies,dancing,art etc. Of course I think its totally fine for men to be interested in these things but I often am judged by people (maybe blindly?) and it really affects me mentally. I don't really meet a lot of men in the spaces I am active in, and sometimes women will also judge me for being active in said spaces because they believe I am there for other reasons, which I do not blame them for being skeptical, it just really sucks to experience so often, and I guess it does not help given I have pretty bad social skills.

This definitely has an impact on the way I am able to make friends, I certainly do not have a lot, it might be due to the nature of my hobbies and how emotional I am, I am not quite sure.  

okay vent over sry :c",Negative,Content,A1089
