Text,Sentiment,Type
ICC Claim Denied - Help or Advice Needed ,Neutral,Title
Does anyone know the interest rate for the SBA disaster relief loans?,Neutral,Title
Need some help,Neutral,Title
Our family needs help. Lost our jobs during Hurricane Helene.,Negative,Title
WHERE IS FEMA hurricane HELENE,Neutral,Title
Hurricane damage by county,Neutral,Title
Where can we donate physical items for those affected by Helene now? ,Neutral,Title
To all the ppl struggling w fema relief,Neutral,Title
Please help someone in need send to $herenowiam83 I'm the one in need very bad situation please consider please,Neutral,Title
Please Help This Family,Neutral,Title
“Asking For Help Shouldn’t Be This Hard..”,Neutral,Title
Where the trees once stood | See how Helene wiped out North Carolina’s forests,Neutral,Title
What organizations are continuing to provide support during clean up and rebuilding?,Neutral,Title
Buy Holiday Gifts from these Asheville Artists Affected by Helene,Neutral,Title
"Asheville, NC Hemp Houses Survive Driving Rains of Hurricane Helene — HempBuild Magazine",Neutral,Title
$200M of South Carolina Timber Tied Up in Helene’s Deadly Path,Neutral,Title
"Final Missing Person From Hurricane Helene Floods Found, Body of Tenn. Factory Worker",Neutral,Title
Beware of who you help! Scammer in our midst.,Neutral,Title
FEMA Seeking Residential Properties to Lease for Helene Survivors - Any property managers in WNC participating in this?,Neutral,Title
Vehicles Lost to Flooding at Hunter Subaru/Hyundai in Arden due to Hurricane Helene,Negative,Title
I just had an inspection yesterday for Hurricane Helene as I waited a month to get. I checked today & it still says pending for inspection? ,Neutral,Title
"After back-to-back hurricanes, animal shelters are ‘in crisis’ ",Neutral,Title
Please help us recover from hurricane Helene. We are going Through a terrible time trying to get assistance. https://gofund.me/78171fb0,Neutral,Title
Anything Helps,Neutral,Title
"With records showing hurricanes like Milton and Helene becoming more common, it’s crucial to address emerging threats due to climate change. What does it mean for our future? Are we truly ready for this new reality of severe weather?",Neutral,Title
Seeking Stories for Documentary on Hurricane Helene and Milton's Impact,Neutral,Title
A month went by & still no inspector has called me for an inspection for FEMA for Hurricane Helene? I have been in touch with FEMA & told me it still says it’s pending. Anyone else still waiting for an inspection? ,Neutral,Title
Helene also affected honey bees and beekeepers.  Could affect the entire country's food supply!,Neutral,Title
"A month later from the Helene flooding, this park is almost dried up",Neutral,Title
Need Advice - Mold from Hurricane Aftermath ,Neutral,Title
"AI is being used to send some households impacted by Helene and Milton $1,000 cash relief payments
#helene",Neutral,Title
"Never did share our Helene + Milton photos. Chainsaw were out of stock for a week after Helene, so we got this up right before Milton. Only thought to take pics of the second road haul, which was much less than the first. Also bonus storm mushrooms! Location: Jacksonville ",Neutral,Title
Hurricane Helene Recount ,Neutral,Title
Please help us from devastating hurricane Helene…..                            https://gofund.me/78171fb0,Neutral,Title
Have You Used Airbnb’s Open Homes Program During a Hurricane? I’m Curious About Real Experiences and Barriers,Neutral,Title
Helene death toll drops by 30 in North Carolina's Buncombe County,Neutral,Title
"If you'd like an anti-government perspective on Helene recovery without the conspiracy theories, you should be listening to the anarchists in Western NC. Mutual aid is a cornerstone of anarchism. Good info in this episode about legal and union support for WNC renters.",Neutral,Title
"Those who know, know. The aftermath of dealing / recovering from natural disasters. venting ",Neutral,Title
Need Help After the Hurricane? We're Here for You!,Neutral,Title
She was a restaurant worker. Helene made her into an emergency manager. ,Neutral,Title
Help for Swannanoa Business,Neutral,Title
Help with hurricane helene ,Neutral,Title
Roofing Help in Ashville NC You Can Trust,Neutral,Title
"Hurricane Helene Official Death Toll & Missing Totals (October 21, 2024)",Neutral,Title
How much damage did Toecane in Mitchell Co receive from the storm?,Neutral,Title
Biden administration launches emergency hiring efforts to support hurricane relief efforts,Neutral,Title
